[14:02:23.004] |I| [load_app_impl]: cpu-backend: Dynarmic
[14:02:23.005] |I| [load_app_impl]: CPU Optimisation state: true
[14:02:23.005] |I| [load_app_impl]: at9 audio decoder state: true
[14:02:23.005] |I| [load_app_impl]: ngs experimental state: true
[14:02:23.005] |I| [load_app_impl]: video player state: true
[14:02:23.005] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,liblocation,libhandwriting,libSceJson,librudp
[14:02:23.005] |I| [load_app_impl]: Title: 双子座のパラドクス
[14:02:23.005] |I| [load_app_impl]: Serial: PCSG01085
[14:02:23.005] |I| [load_app_impl]: Version: 1.00
[14:02:23.006] |I| [load_app_impl]: Category: gd
[14:02:23.061] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:02:23.061] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module ux0:app\PCSG01085\sce_module\libc.suprx
[14:02:23.061] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module ux0:app\PCSG01085\sce_module\libc.suprx
[14:02:23.061] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01085\sce_module\libc.suprx
[14:02:23.062] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[14:02:23.062] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[14:02:23.062] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[14:02:23.063] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[14:02:23.063] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSG01085\sce_module\libc.suprx") loaded
[14:02:23.096] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:02:23.096] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x00077000 / 0x81000000] (size: 0x00019000) of module ux0:app\PCSG01085\sce_module\libface.suprx
[14:02:23.096] |I| [load_self]: Loaded module segment 1 @ [0x00077000 - 0x000770F8 / 0x81019000] (size: 0x000000F8) of module ux0:app\PCSG01085\sce_module\libface.suprx
[14:02:23.096] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01085\sce_module\libface.suprx
[14:02:23.096] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x73DA4
[14:02:23.097] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x76784
[14:02:23.097] |I| [pre_load_module]: Pre-load module SceFace (at "app\PCSG01085\sce_module\libface.suprx") loaded
[14:02:23.121] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:02:23.121] |I| [load_self]: Loaded module segment 0 @ [0x00078000 - 0x000A4CBF / 0x81000000] (size: 0x0002CCBF) of module ux0:app\PCSG01085\sce_module\libfios2.suprx
[14:02:23.121] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000AA255 / 0x8102D000] (size: 0x00005255) of module ux0:app\PCSG01085\sce_module\libfios2.suprx
[14:02:23.121] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01085\sce_module\libfios2.suprx
[14:02:23.121] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA4BC8
[14:02:23.121] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9BF08
[14:02:23.121] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSG01085\sce_module\libfios2.suprx") loaded
[14:02:23.205] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:02:23.205] |I| [load_self]: Loaded module segment 0 @ [0x000AB000 - 0x002B8AF4 / 0x81000000] (size: 0x0020DAF4) of module ux0:app\PCSG01085\sce_module\libsmart.suprx
[14:02:23.205] |I| [load_self]: Loaded module segment 1 @ [0x002B9000 - 0x002BC444 / 0x8120E000] (size: 0x00003444) of module ux0:app\PCSG01085\sce_module\libsmart.suprx
[14:02:23.206] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01085\sce_module\libsmart.suprx
[14:02:23.206] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x156528
[14:02:23.206] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15D90C
[14:02:23.206] |I| [pre_load_module]: Pre-load module SceSmart (at "app\PCSG01085\sce_module\libsmart.suprx") loaded
[14:02:23.215] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:02:23.215] |I| [load_self]: Loaded module segment 0 @ [0x002BD000 - 0x002D09BC / 0x81000000] (size: 0x000139BC) of module ux0:app\PCSG01085\sce_module\libult.suprx
[14:02:23.216] |I| [load_self]: Loaded module segment 1 @ [0x002D1000 - 0x002D1814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSG01085\sce_module\libult.suprx
[14:02:23.216] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01085\sce_module\libult.suprx
[14:02:23.216] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2CF2E8
[14:02:23.216] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2CC870
[14:02:23.216] |I| [pre_load_module]: Pre-load module SceUlt (at "app\PCSG01085\sce_module\libult.suprx") loaded
[14:02:23.224] |I| [load_self]: Loaded module segment 0 @ [0x002D2000 - 0x00322F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[14:02:23.224] |I| [load_self]: Loaded module segment 1 @ [0x00323000 - 0x003232F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[14:02:23.224] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[14:02:23.224] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x30E7DC
[14:02:23.224] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30DF10
[14:02:23.224] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[14:02:23.227] |I| [load_self]: Loaded module segment 0 @ [0x00324000 - 0x00333F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[14:02:23.227] |I| [load_self]: Loaded module segment 1 @ [0x00334000 - 0x00334008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[14:02:23.227] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[14:02:23.227] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x332710
[14:02:23.227] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x332300
[14:02:23.227] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[14:02:23.246] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:02:23.246] |I| [load_self]: Loaded module segment 0 @ [0x00335000 - 0x00380934 / 0x81000000] (size: 0x0004B934) of module app0:eboot.bin
[14:02:23.246] |I| [load_self]: Loaded module segment 1 @ [0x00381000 - 0x003D4684 / 0x8104C000] (size: 0x00053684) of module app0:eboot.bin
[14:02:23.246] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[14:02:23.247] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x368FB8
[14:02:23.247] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x3853A0
[14:02:23.247] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x370C4C
[14:02:23.247] |I| [load_app_impl]: Main executable MajiExec (eboot.bin) loaded
[14:02:23.255] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[14:02:23.284] |I| [run_app]: Module SceLibc (at "ux0:app\PCSG01085\sce_module\libc.suprx") module_start returned 0x0
[14:02:23.289] |D| [run_app]: Running module_start of library: SceFace at address 0x73265
[14:02:23.297] |I| [run_app]: Module SceFace (at "ux0:app\PCSG01085\sce_module\libface.suprx") module_start returned 0x0
[14:02:23.301] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x78001
[14:02:23.309] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[14:02:23.310] |D| [export_sceFiosOverlayGetList02]: maxIDs: 127
[14:02:23.310] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[14:02:23.310] |I| [run_app]: Module SceLibFios2 (at "ux0:app\PCSG01085\sce_module\libfios2.suprx") module_start returned 0x0
[14:02:23.314] |D| [run_app]: Running module_start of library: SceSmart at address 0xAB18D
[14:02:23.324] |I| [run_app]: Module SceSmart (at "ux0:app\PCSG01085\sce_module\libsmart.suprx") module_start returned 0x0
[14:02:23.328] |D| [run_app]: Running module_start of library: SceUlt at address 0x2C0771
[14:02:23.335] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[14:02:23.335] |I| [run_app]: Module SceUlt (at "ux0:app\PCSG01085\sce_module\libult.suprx") module_start returned 0x0
[14:02:23.342] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadPriority2 import called.
[14:02:23.351] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[14:02:23.353] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[14:02:23.505] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[14:02:23.578] |I| [export_sceIoOpen]: Opening file: sa0:data/font/pvf/jpn0.pvf
[14:02:23.579] |I| [export_sceClibPrintf]: LIBPVF>>> FILE: sa0:data/font/pvf/jpn0.pvf

[14:02:23.579] |W| [unimplemented_impl]: Unimplemented sceIoIoctl import called.
[14:02:24.079] |W| [unimplemented_impl]: Unimplemented sceGxmTransferFill import called.
[14:02:24.079] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[14:02:24.080] |W| [stubbed_impl]: Stubbed sceDisplayWaitVblankStart import called. (wait for vblank)
[14:02:24.111] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[14:02:24.112] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[14:02:24.131] |W| [stubbed_impl]: Stubbed sceFiosOverlayResolveWithRangeSync02 import called. (Using strncpy)
[14:02:24.150] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetRecommendedScheduler02 import called.
[14:02:24.153] |I| [export_sceIoOpen]: Opening file: app0:/update12.arc
[14:02:24.154] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/mc/ux0/app/PCSG01085/update12.arc (target path: app0:/update12.arc)
[14:02:24.154] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
