[06:15:03.885] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[06:15:03.886] |D| [export_sceFiosOverlayGetList02]: maxIDs: 127
[06:15:03.886] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[06:15:03.886] |I| [run_app]: Module SceLibFios2 (at "ux0:app\PCSG01229\sce_module\libfios2.suprx") module_start returned 0x0
[06:15:03.890] |D| [run_app]: Running module_start of library: SceUlt at address 0x94771
[06:15:03.897] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[06:15:03.897] |I| [run_app]: Module SceUlt (at "ux0:app\PCSG01229\sce_module\libult.suprx") module_start returned 0x0
[06:15:03.983] |W| [unimplemented_impl]: Unimplemented sceKernelGetThreadCurrentPriority import called.
[06:15:03.984] |W| [stubbed_impl]: Stubbed sceKernelChangeThreadPriority import called. (STUB)
[06:15:03.999] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[06:15:03.999] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[06:15:04.020] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[06:15:04.048] |W| [stubbed_impl]: Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[06:15:04.053] |W| [stubbed_impl]: Stubbed sceKernelLockLwMutexCB import called. (no CB)
[06:15:04.062] |W| [unimplemented_impl]: Unimplemented sceScreenShotDisable import called.
[06:15:04.062] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetParam import called.
[06:15:04.063] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[06:15:04.063] |W| [unimplemented_impl]: Unimplemented sceScreenShotEnable import called.
[06:15:04.183] |W| [unimplemented_impl]: Unimplemented sceNgsSystemSetFlags import called.
[06:15:04.185] |D| [export_sceNgsVoiceInit]: flags: 0
[06:15:04.186] |D| [export_sceNgsVoicePlay]: sceNgsVoicePlay: 1
[06:15:04.675] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[06:15:04.679] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[06:15:04.691] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[06:15:04.729] |W| [stubbed_impl]: Stubbed sceDisplayWaitVblankStartCB import called. (wait for vblank)
[06:15:04.729] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.730] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.746] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.763] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.781] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.797] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.814] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.832] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.834] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetRecommendedScheduler02 import called.
[06:15:04.848] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.851] |I| [export_sceIoOpen]: Opening file: app0:/map/bg.map
[06:15:04.866] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.880] |I| [export_sceIoOpen]: Opening file: app0:/map/ev.map
[06:15:04.883] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.885] |I| [export_sceIoOpen]: Opening file: app0:/map/face.map
[06:15:04.889] |I| [export_sceIoOpen]: Opening file: app0:/map/image.map
[06:15:04.892] |I| [export_sceIoOpen]: Opening file: app0:/map/stand.map
[06:15:04.894] |I| [export_sceIoOpen]: Opening file: app0:/map/effect.map
[06:15:04.896] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_haz.map
[06:15:04.898] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_kan.map
[06:15:04.900] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.900] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_koh.map
[06:15:04.903] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_m.map
[06:15:04.905] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_mio.map
[06:15:04.907] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_sak.map
[06:15:04.908] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_sei.map
[06:15:04.910] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_shi.map
[06:15:04.916] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.917] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_w.map
[06:15:04.919] |I| [export_sceIoOpen]: Opening file: app0:/map/voice_z.map
[06:15:04.921] |I| [export_sceIoOpen]: Opening file: app0:/map/se.map
[06:15:04.923] |I| [export_sceIoOpen]: Opening file: app0:/map/bgm.map
[06:15:04.924] |I| [export_sceIoOpen]: Opening file: app0:/map/thumb.map
[06:15:04.928] |I| [export_sceIoOpen]: Opening file: app0:/map/other.map
[06:15:04.931] |I| [export_sceIoOpen]: Opening file: app0:/map/script.map
[06:15:04.933] |I| [export_sceIoOpen]: Opening file: app0:/map/rodata.map
[06:15:04.933] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.944] |W| [stubbed_impl]: Stubbed sceKernelWaitSemaCB import called. (no CB)
[06:15:04.945] |W| [stubbed_impl]: Stubbed sceKernelWaitEventFlagCB import called. (no CB)
[06:15:04.951] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.967] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.984] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:04.988] |W| [unimplemented_impl]: Unimplemented sceGxmSetFrontLineFillLastPixelEnable import called.
[06:15:04.988] |W| [unimplemented_impl]: Unimplemented sceGxmSetBackLineFillLastPixelEnable import called.
[06:15:04.989] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampValue import called.
[06:15:04.989] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampEnable import called.
[06:15:04.989] |W| [unimplemented_impl]: Unimplemented sceGxmSetWBufferEnable import called.
[06:15:04.990] |W| [unimplemented_impl]: Unimplemented sceGxmSetFrontVisibilityTestIndex import called.
[06:15:04.990] |W| [unimplemented_impl]: Unimplemented sceGxmSetBackVisibilityTestIndex import called.
[06:15:04.990] |W| [unimplemented_impl]: Unimplemented sceGxmSetFrontVisibilityTestOp import called.
[06:15:04.990] |W| [unimplemented_impl]: Unimplemented sceGxmSetBackVisibilityTestOp import called.
[06:15:04.991] |W| [unimplemented_impl]: Unimplemented sceGxmSetFrontVisibilityTestEnable import called.
