[06:41:47.703] |I| [load_self]: Loaded module segment 0 @ [0x00324000 - 0x00333F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[06:41:47.703] |I| [load_self]: Loaded module segment 1 @ [0x00334000 - 0x00334008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[06:41:47.703] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[06:41:47.703] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x332710
[06:41:47.704] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x332300
[06:41:47.704] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[06:41:47.781] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.781] |I| [load_self]: Loaded module segment 0 @ [0x00335000 - 0x00508168 / 0x81000000] (size: 0x001D3168) of module app0:eboot.bin
[06:41:47.781] |I| [load_self]: Loaded module segment 1 @ [0x00509000 - 0x005584C4 / 0x811D4000] (size: 0x0004F4C4) of module app0:eboot.bin
[06:41:47.782] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[06:41:47.782] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4A04DC
[06:41:47.782] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x510C2C
[06:41:47.782] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4D9160
[06:41:47.782] |I| [load_app_impl]: Main executable AGESVITA (eboot.bin) loaded
[06:41:47.791] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[06:41:47.845] |I| [run_app]: Module SceLibc (at "ux0:app\PCSB01235\sce_module\libc.suprx") module_start returned 0x0
[06:41:47.849] |D| [run_app]: Running module_start of library: SceFace at address 0x73265
[06:41:47.859] |I| [run_app]: Module SceFace (at "ux0:app\PCSB01235\sce_module\libface.suprx") module_start returned 0x0
[06:41:47.863] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x78001
[06:41:47.872] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[06:41:47.872] |D| [export_sceFiosOverlayGetList02]: maxIDs: 127
[06:41:47.872] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[06:41:47.873] |I| [run_app]: Module SceLibFios2 (at "ux0:app\PCSB01235\sce_module\libfios2.suprx") module_start returned 0x0
[06:41:47.877] |D| [run_app]: Running module_start of library: SceSmart at address 0xAB18D
[06:41:47.887] |I| [run_app]: Module SceSmart (at "ux0:app\PCSB01235\sce_module\libsmart.suprx") module_start returned 0x0
[06:41:47.891] |D| [run_app]: Running module_start of library: SceUlt at address 0x2C0771
[06:41:47.898] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
