[05:16:44.715] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.715] |I| [load_self]: Loaded module segment 0 @ [0x00332000 - 0x007D108C / 0x81000000] (size: 0x0049F08C) of module app0:eboot.bin
[05:16:44.715] |I| [load_self]: Loaded module segment 1 @ [0x007D2000 - 0x007EEE98 / 0x814A0000] (size: 0x0001CE98) of module app0:eboot.bin
[05:16:44.715] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[05:16:44.715] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x74CCF0
[05:16:44.716] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x7D208C
[05:16:44.716] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7A104C
[05:16:44.716] |I| [load_app_impl]: Main executable mainVita (eboot.bin) loaded
[05:16:44.718] |D| [run_app]: Running module_start of library: SceLibc at address 0x4871
[05:16:44.722] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:16:44.722] |D| [run_app]: Running module_start of library: SceFace at address 0x70265
[05:16:44.724] |I| [run_app]: Module SceFace (at "app0:sce_module/libface.suprx") module_start returned 0x0
[05:16:44.725] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x75001
[05:16:44.727] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:16:44.727] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[05:16:44.727] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[05:16:44.727] |D| [run_app]: Running module_start of library: SceSmart at address 0xA818D
[05:16:44.730] |I| [run_app]: Module SceSmart (at "app0:sce_module/libsmart.suprx") module_start returned 0x0
[05:16:44.730] |D| [run_app]: Running module_start of library: SceUlt at address 0x2BD771
[05:16:44.732] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[05:16:44.732] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[05:16:44.733] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[05:16:44.790] |I| [load_module]: Loading module ID: 0x2
[05:16:44.794] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.794] |I| [load_self]: Loaded module segment 0 @ [0x00876000 - 0x00893150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[05:16:44.794] |I| [load_self]: Loaded module segment 1 @ [0x00830000 - 0x00830640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[05:16:44.794] |I| [load_self]: Loading symbols for SELF: sys/external/libhttp.suprx
[05:16:44.794] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x891E68
[05:16:44.794] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x88ECA0
[05:16:44.794] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[05:16:44.794] |D| [load_module]: Running module_start of module: SceLibHttp
[05:16:44.797] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") module_start returned 0x0
[05:16:44.798] |I| [load_module]: Loading module ID: 0x4
[05:16:44.801] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.802] |I| [load_self]: Loaded module segment 0 @ [0x00896000 - 0x008B3150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[05:16:44.802] |I| [load_self]: Loaded module segment 1 @ [0x00894000 - 0x00894640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[05:16:44.802] |I| [load_self]: Loading symbols for SELF: sys/external/libhttp.suprx
[05:16:44.802] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8B1E68
[05:16:44.802] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8AECA0
[05:16:44.803] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[05:16:44.803] |D| [load_module]: Running module_start of module: SceLibHttp
[05:16:44.805] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") module_start returned 0x0
[05:16:44.815] |I| [load_self]: Loaded module segment 0 @ [0x008B6000 - 0x0091CEA4 / 0x81000000] (size: 0x00066EA4) of module sys/external/libssl.suprx
[05:16:44.815] |I| [load_self]: Loaded module segment 1 @ [0x0091D000 - 0x00921FA8 / 0x81067000] (size: 0x00004FA8) of module sys/external/libssl.suprx
[05:16:44.815] |I| [load_self]: Loading symbols for SELF: sys/external/libssl.suprx
[05:16:44.815] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9089E0
[05:16:44.815] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x902CA0
[05:16:44.815] |I| [load_module]: Module SceLibSsl (at "sys/external/libssl.suprx") loaded
[05:16:44.815] |I| [load_module]: Loading module ID: 0x13
[05:16:44.816] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.818] |I| [load_self]: Loaded module segment 0 @ [0x00922000 - 0x0092508C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[05:16:44.818] |I| [load_self]: Loaded module segment 1 @ [0x008B4000 - 0x008B4BF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[05:16:44.818] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[05:16:44.818] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x925074
[05:16:44.819] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x924BD4
[05:16:44.819] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[05:16:44.819] |D| [load_module]: Running module_start of module: SceSystemGesture
[05:16:44.820] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[05:16:44.821] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[05:16:44.835] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[05:16:44.836] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[05:16:44.836] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[05:16:44.913] |W| [unimplemented_impl]: Unimplemented sceNetCtlInit import called.
[05:16:44.914] |E| [call_import]: Import function for NID 0x9F793F84 not found (thread name: PCSB00959, thread ID: 8)
[05:16:44.914] |W| [stubbed_impl]: Stubbed sceNetCtlInetGetState import called. (state = SCE_NETCTL_STATE_DISCONNECTED)
[05:16:44.914] |W| [unimplemented_impl]: Unimplemented sceNpBasicInit import called.
[05:16:44.914] |W| [unimplemented_impl]: Unimplemented sceNpWordFilterInit import called.
[05:16:44.915] |W| [unimplemented_impl]: Unimplemented sceNpAuthInit import called.
[05:16:44.915] |W| [unimplemented_impl]: Unimplemented sceNpCommerce2Init import called.
[05:16:44.969] |W| [export_sceGxmCreateDeferredContext]: toto: sceGxmCreateDeferredContext
[05:16:45.020] |W| [stubbed_impl]: Stubbed sceDisplayWaitSetFrameBuf import called. (move after setframebuf)
[05:16:45.036] |W| [ngs::create_voice_definition]: Missing voice definition for Buss Type 10, using passthrough.
[05:16:45.037] |W| [unimplemented_impl]: Unimplemented sceNgsModuleGetPreset import called.
[05:16:45.037] |D| [export_sceAudioOutSetVolume]: port: 1, flag: 3, vol: 32768
[05:16:45.038] |W| [unimplemented_impl]: Unimplemented sceAudioOutSetVolume import called.
[05:16:45.038] |W| [unimplemented_impl]: Unimplemented sceTouchDisableTouchForce import called.
[05:16:45.038] |W| [unimplemented_impl]: Unimplemented sceTouchGetPixelDensity2 import called.
[05:16:45.038] |E| [call_import]: Import function for NID 0xE340C092 not found (thread name: MainThread, thread ID: 166)
[05:16:45.039] |I| [export_sceIoOpen]: Opening file: app0:data00.pac
[05:16:45.117] |I| [export_sceIoOpen]: Opening file: app0:data01.pac
[05:16:45.167] |I| [export_sceIoOpen]: Opening file: app0:data02.pac
[05:16:45.202] |I| [export_sceIoOpen]: Opening file: app0:data00.pac
[05:16:45.205] |I| [export_sceIoOpen]: Opening file: app0:data00.pac
[05:16:45.641] |I| [export_sceIoOpen]: Opening file: app0:data00.pac
[05:16:45.644] |I| [export_sceIoOpen]: Opening file: app0:data00.pac
[05:16:45.648] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[05:16:45.649] |W| [stubbed_impl]: Stubbed sceDisplayWaitSetFrameBufMulti import called. (move after setframebuf)
[05:16:45.653] |W| [stubbed_impl]: Stubbed sceNetCtlCheckCallback import called. (Stub)
[05:16:45.655] |W| [stubbed_impl]: Stubbed sceNpCheckCallback import called. (Stub)
[05:16:45.655] |W| [stubbed_impl]: Stubbed sceDisplayWaitVblankStartMulti import called. (wait for vblank)
[05:16:45.691] |W| [unimplemented_impl]: Unimplemented sceAppUtilAppParamGetInt import called.
[05:16:45.703] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:45.703] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:45.703] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:45.703] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:45.704] |E| [logging::ret_error_impl]: sceGxmSetUniformDataF returned SCE_GXM_ERROR_INVALID_POINTER (0x805B0004)
[05:16:45.704] |E| [logging::ret_error_impl]: sceGxmDraw returned SCE_GXM_ERROR_RESERVE_FAILED (0x805B000B)
[05:16:45.704] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.106] |W| [stubbed_impl]: Stubbed sceNpTrophyCreateHandle import called. (Stubbed handle with 1)
[05:16:46.120] |E| [logging::ret_error_impl]: sceGxmBeginScene returned SCE_GXM_ERROR_WITHIN_SCENE (0x805B0007)
[05:16:46.120] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.120] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.120] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.120] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.120] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.120] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.136] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.136] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.136] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.137] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.137] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.137] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.140] |I| [export_sceIoOpen]: Opening file: app0:data02.pac
[05:16:46.153] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.153] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.153] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.153] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.154] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.154] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.157] |I| [export_sceIoOpen]: Opening file: app0:data02.pac
[05:16:46.169] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.170] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.170] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.170] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.170] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.170] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.186] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.186] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.186] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.187] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.187] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.187] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.203] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.203] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.203] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.203] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.203] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.204] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.219] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.220] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.220] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.220] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
[05:16:46.220] |D| [export_sceGxmBeginCommandList]: Begin Command list
[05:16:46.220] |D| [export_sceGxmEndCommandList]: sceGxmEndCommandList
[05:16:46.236] |D| [export_sceGxmExecuteCommandList]: sceGxmExecuteCommandList
[05:16:46.236] |D| [export_sceGxmSetDeferredContextVdmBuffer]: vdmbuffer: 0
[05:16:46.237] |D| [export_sceGxmSetDeferredContextVertexBuffer]: vertbuffer: 0
[05:16:46.237] |D| [export_sceGxmSetDeferredContextFragmentBuffer]: fragbuffer: 0
