[07:28:49.606] |D| [run_app]: Running module_start of library: SceUlt at address 0x6F95D
[07:28:49.608] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[07:28:49.608] |I| [run_app]: Module SceUlt (at "ux0:app\PCSF00220\sce_module\libult.suprx") module_start returned 0x0
[07:28:49.633] |I| [load_module]: Loading module ID: 0x13
[07:28:49.643] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:28:49.643] |I| [load_self]: Loaded module segment 0 @ [0x0013A000 - 0x0013D08C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[07:28:49.644] |I| [load_self]: Loaded module segment 1 @ [0x00126000 - 0x00126BF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[07:28:49.645] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[07:28:49.645] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x13D074
[07:28:49.646] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x13CBD4
[07:28:49.646] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[07:28:49.646] |D| [load_module]: Running module_start of module: SceSystemGesture
[07:28:49.649] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[07:28:49.654] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[07:28:49.656] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[07:28:49.718] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MB host mem)
[07:28:49.753] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[07:28:49.753] |W| [unimplemented_impl]: Unimplemented sceCommonDialogSetConfigParam import called.
[07:28:49.787] |W| [unimplemented_impl]: Unimplemented ksceKernelGetThreadCurrentPriority import called.
[07:28:49.787] |W| [unimplemented_impl]: Unimplemented sceKernelGetThreadCpuAffinityMask import called.
[07:28:49.810] |D| [export_sceGxmSetFrontFragmentProgramEnable]: Front: 0
[07:28:49.810] |D| [export_sceGxmSetBackFragmentProgramEnable]: Back: 0
[07:28:49.811] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[07:28:49.819] |I| [export_sceIoOpen]: Opening file: app0:carddata.bin
[07:28:49.832] |I| [export_sceIoOpen]: Opening file: app0:carddata.patch.bin
[07:28:49.852] |W| [stubbed_impl]: Stubbed sceAudiodecTermLibrary import called. (EMPTY)
[07:28:49.853] |W| [unimplemented_impl]: Unimplemented sceSysmoduleUnloadModule import called.
[07:28:49.853] |W| [unimplemented_impl]: Unimplemented sceNgsSystemSetFlags import called.
[07:28:49.854] |D| [export_sceNgsVoicePlay]: sceNgsVoicePlay: 1
[07:28:49.854] |W| [unimplemented_impl]: Unimplemented sceNgsVoiceSetParamsBlock import called.
[07:28:49.864] |D| [export_sceNgsVoicePlay]: sceNgsVoicePlay: 1
[07:28:49.880] |I| [load_module]: Loading module ID: 0x2
[07:28:49.908] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:28:49.908] |I| [load_self]: Loaded module segment 0 @ [0x04178000 - 0x04195150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[07:28:49.909] |I| [load_self]: Loaded module segment 1 @ [0x04196000 - 0x04196640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[07:28:49.910] |I| [load_self]: Loading symbols for SELF: sys/external/libhttp.suprx
[07:28:49.910] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4193E68
[07:28:49.911] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4190CA0
[07:28:49.911] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[07:28:49.911] |D| [load_module]: Running module_start of module: SceLibHttp
[07:28:49.914] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") module_start returned 0x0
[07:28:49.914] |I| [load_module]: Loading module ID: 0x4
[07:28:49.917] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:28:49.917] |I| [load_self]: Loaded module segment 0 @ [0x04199000 - 0x041B6150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[07:28:49.917] |I| [load_self]: Loaded module segment 1 @ [0x04197000 - 0x04197640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[07:28:49.918] |I| [load_self]: Loading symbols for SELF: sys/external/libhttp.suprx
[07:28:49.918] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x41B4E68
[07:28:49.919] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x41B1CA0
[07:28:49.919] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[07:28:49.920] |D| [load_module]: Running module_start of module: SceLibHttp
